amp_id,species,mic_ug_per_ml,n_measurements
221,escherichia coli,8.0,1
222,staphylococcus aureus,32.0,1
222,pseudomonas aeruginosa,32.0,1
223,staphylococcus aureus,16.0,1
223,pseudomonas aeruginosa,32.0,1
224,staphylococcus aureus,32.0,1
224,pseudomonas aeruginosa,32.0,1
225,staphylococcus aureus,32.0,1
225,pseudomonas aeruginosa,32.0,1
226,staphylococcus aureus,32.0,1
226,pseudomonas aeruginosa,32.0,1
227,staphylococcus aureus,16.0,1
227,pseudomonas aeruginosa,8.0,1
228,staphylococcus aureus,62.5,1
228,pseudomonas aeruginosa,32.0,1
229,staphylococcus aureus,32.0,1
229,pseudomonas aeruginosa,32.0,1
230,staphylococcus aureus,32.0,1
230,pseudomonas aeruginosa,32.0,1
231,staphylococcus aureus,32.0,1
231,pseudomonas aeruginosa,32.0,1
232,staphylococcus aureus,32.0,1
232,pseudomonas aeruginosa,62.5,1
233,staphylococcus aureus,32.0,1
233,pseudomonas aeruginosa,62.5,1
234,staphylococcus aureus,125.0,1
234,pseudomonas aeruginosa,62.5,1
235,staphylococcus aureus,32.0,1
235,pseudomonas aeruginosa,62.5,1
236,staphylococcus aureus,32.0,1
236,pseudomonas aeruginosa,62.5,1
237,staphylococcus aureus,62.5,1
237,pseudomonas aeruginosa,62.5,1
238,staphylococcus aureus,16.0,1
238,pseudomonas aeruginosa,8.0,1
239,staphylococcus aureus,62.5,1
239,pseudomonas aeruginosa,62.5,1
240,staphylococcus aureus,62.5,1
240,pseudomonas aeruginosa,125.0,1
241,staphylococcus aureus,62.5,1
241,pseudomonas aeruginosa,125.0,1
242,staphylococcus aureus,16.0,1
242,pseudomonas aeruginosa,32.0,1
243,staphylococcus aureus,16.0,1
243,pseudomonas aeruginosa,62.5,1
244,staphylococcus aureus,32.0,1
244,pseudomonas aeruginosa,125.0,1
245,escherichia coli,128.0,1
245,staphylococcus aureus,256.0,1
245,pseudomonas aeruginosa,128.0,1
246,escherichia coli,8.0,1
246,staphylococcus aureus,16.0,1
246,pseudomonas aeruginosa,16.0,1
247,escherichia coli,32.0,1
247,staphylococcus aureus,256.0,1
247,pseudomonas aeruginosa,64.0,1
248,escherichia coli,8.0,1
248,staphylococcus aureus,8.0,1
248,pseudomonas aeruginosa,8.0,1
249,escherichia coli,256.0,1
249,staphylococcus aureus,256.0,1
249,pseudomonas aeruginosa,256.0,1
250,escherichia coli,8.0,1
250,staphylococcus aureus,16.0,1
250,pseudomonas aeruginosa,16.0,1
251,escherichia coli,32.0,1
251,staphylococcus aureus,256.0,1
251,pseudomonas aeruginosa,256.0,1
